date,daily_views,daily_profile_views,channel_daily_like,channel_daily_comments,channel_daily_shares,channel_total_followers,daily_follower,upload_contents,type,content_name,url,view_cnt,like_cnt,comment_cnt
2025. 3. 24.,44916,579,2510,62,42,11568,48,,비기간,,,,,
2025. 3. 25.,75242,825,3453,57,65,11616,42,수급,비기간,무대가 체질인 듀엣 케미,https://www.tiktok.com/@gs_vocalclub/video/7484214971652640001,144000,5996,23
2025. 3. 26.,80763,870,3658,74,43,11658,52,,비기간,,,,,
2025. 3. 27.,77632,820,4190,77,62,11710,34,,비기간,,,,,
2025. 3. 28.,65400,1003,3221,51,34,11744,86,,비기간,,,,,
2025. 3. 29.,234803,3076,11033,169,132,11830,88,수급,비기간,독감 걸렸지만 고음은 포기 못함,https://www.tiktok.com/@gs_vocalclub/video/7486672509580987665,523500,24700,267
2025. 3. 30.,210826,2464,9864,203,103,11918,50,,비기간,,,,,
2025. 3. 31.,126559,1506,5851,113,67,11968,66,,비기간,,,,,
2025. 4. 1.,168808,1732,8951,110,111,12034,76,수급,비기간,담백한 음색이 주는 설렘,https://www.tiktok.com/@gs_vocalclub/video/7486673170959715601,54300,3470,20
2025. 4. 2.,122835,1340,6012,138,54,12110,66,,비기간,,,,,
2025. 4. 3.,116311,1447,5968,154,60,12176,42,,비기간,,,,,
2025. 4. 4.,82255,994,4325,110,59,12218,35,,비기간,,,,,
2025. 4. 5.,74546,1131,3877,84,53,12253,25,수급,비기간,마지막 중학교 축제에서 이별 노래,https://www.tiktok.com/@gs_vocalclub/video/7489013006001589505,65500,2676,12
2025. 4. 6.,65123,824,2954,33,27,12278,25,,비기간,,,,,
2025. 4. 7.,33984,450,1555,29,12,12303,19,,비기간,,,,,
2025. 4. 8.,66092,830,3447,83,42,12322,49,수급,비기간,어떻게 고2에게 이런 음색이,https://www.tiktok.com/@gs_vocalclub/video/7489013212147420433,23700,710,4
2025. 4. 9.,119405,1600,5770,87,44,12371,31,,비기간,,,,,
2025. 4. 10.,60905,770,2955,50,26,12402,20,,비기간,,,,,
2025. 4. 11.,61137,773,3027,44,46,12422,38,,비기간,,,,,
2025. 4. 12.,126805,1811,5906,82,76,12460,39,수급,비기간,복면가왕 예선전에서 살아남는 법,https://www.tiktok.com/@gs_vocalclub/video/7491478615704554769,247000,12300,18
2025. 4. 13.,96358,1408,4647,46,53,12499,27,,비기간,,,,,
2025. 4. 14.,64870,798,2982,31,30,12526,26,,비기간,,,,,
2025. 4. 15.,79106,850,3235,48,77,12552,28,수급,비기간,학교 축제 섭렵한 고음 여신,https://www.tiktok.com/@gs_vocalclub/video/7491479024146074881,206400,7966,34
2025. 4. 16.,87650,882,3599,53,49,12580,15,,비기간,,,,,
2025. 4. 17.,57420,598,2453,31,33,12595,24,,비기간,,,,,
2025. 4. 18.,45774,532,2264,33,14,12619,16,,비기간,,,,,
2025. 4. 19.,63141,817,2860,51,30,12635,30,수급,비기간,음색 깡패 고등학생의 축가,https://www.tiktok.com/@gs_vocalclub/video/7494677573796941073,80800,3884,8
2025. 4. 20.,49792,595,2252,42,30,12665,5,,비기간,,,,,
2025. 4. 21.,30390,384,1483,25,13,12670,175,,비기간,,,,,
2025. 4. 22.,486967,4030,23091,421,264,12845,151,수급,비기간,성량으로 무대 뿌시는 중3,https://www.tiktok.com/@gs_vocalclub/video/7494677894501764368,1500000,61400,428
2025. 4. 23.,392570,2344,15873,354,161,12996,93,,비기간,,,,,
2025. 4. 24.,207062,1546,10233,263,115,13089,66,,비기간,,,,,
2025. 4. 25.,116343,914,5929,135,61,13155,103,,비기간,,,,,
2025. 4. 26.,305702,2654,15168,237,159,13258,103,수급,비기간,음색이 학교 마이크 집어삼킴,https://www.tiktok.com/@gs_vocalclub/video/7497238372012805377,767400,33900,77
2025. 4. 27.,259884,2618,12147,143,132,13361,70,,비기간,,,,,
2025. 4. 28.,179367,1397,7345,129,72,13431,41,,비기간,,,,,
2025. 4. 29.,111881,860,4483,78,54,13472,37,수급,비기간,하교 후 낭만으로 물든 놀이터,https://www.tiktok.com/@gs_vocalclub/video/7497238614552628497,170000,640,3
2025. 4. 30.,110102,850,5126,99,64,13509,26,,비기간,,,,,
2025. 5. 1.,96005,722,3856,87,46,13535,29,,비기간,,,,,
2025. 5. 2.,86039,734,3648,75,44,13564,42,,비기간,,,,,
2025. 5. 3.,94872,826,4012,127,43,13606,18,수급,비기간,축제 장악해버리는 허스키 보이스,https://www.tiktok.com/@gs_vocalclub/video/7499135745660095761,57600,1790,5
2025. 5. 4.,69866,650,2792,72,33,13624,14,,비기간,,,,,
2025. 5. 5.,69702,637,2914,75,44,13638,16,,비기간,,,,,
2025. 5. 6.,63108,620,2821,83,33,13654,59,수급,비기간,학교 화장실을 무대로 만드는 음색,https://www.tiktok.com/@gs_vocalclub,15900,583,9
2025. 5. 7.,167969,1767,7162,182,79,13713,36,,비기간,,,,,
2025. 5. 8.,93543,860,3757,96,23,13749,32,,비기간,,,,,
2025. 5. 9.,100443,1041,4736,130,53,13781,42,,비기간,,,,,
2025. 5. 10.,146869,1388,5705,176,69,13823,32,수급,비기간,음색으로 컴퓨터실 점령함,https://www.tiktok.com/@gs_vocalclub/video/7499136445152496897,410900,15800,47
2025. 5. 11.,133287,1265,5452,96,56,13855,67,,비기간,,,,,
2025. 5. 12.,184594,1971,6943,200,110,13922,47,,비기간,,,,,
2025. 5. 13.,114195,1156,4722,99,50,13969,40,수급,비기간,케이팝계가 탐낼 고등학생,https://www.tiktok.com/@gs_vocalclub/video/7499136637234990352,59500,2062,9
2025. 5. 14.,130526,1274,5651,122,66,14009,24,,비기간,,,,,
2025. 5. 15.,78981,888,3329,82,34,14033,43,,비기간,,,,,
2025. 5. 16.,104275,932,4573,102,69,14076,17,,비기간,,,,,
2025. 5. 17.,75672,766,3122,87,61,14093,39,수급,비기간,고등학생 음색이 이리 좋아도 됨?,https://www.tiktok.com/@gs_vocalclub/video/7504240806463589633,71600,3924,18
